Designator,Mid X,Mid Y,Rotation,Layer
C1,-2.631266,-44.636836,0.0,bottom
C10,-1.281266,-5.436836,0.0,bottom
C11,6.840332,-39.951943,90.0,bottom
C12,1.675,11.560542,0.0,bottom
C13,-19.564055,-22.39338,180.0,bottom
C14,8.745,-38.624458,180.0,bottom
C15,12.455,-41.814458,90.0,bottom
C16,12.835945,-22.44338,0.0,bottom
C17,6.300332,-38.471943,0.0,bottom
C2,-5.781266,-36.436836,270.0,bottom
C3,2.426751,-33.341943,180.0,bottom
C4,4.220332,-34.751943,90.0,bottom
C5,4.237319,-31.871789,270.0,bottom
C6,8.998734,-6.536836,180.0,bottom
C7,8.048734,-11.381836,180.0,bottom
C8,5.800332,-39.941943,90.0,bottom
C9,1.538734,-5.436836,180.0,bottom
D101,0.0,-28.480001,270.0,top
D102,0.0,-18.449999,270.0,top
D103,33.810527,14.258057,263.0,bottom
D104,106.881266,2.09072,263.0,bottom
D105,95.987191,-31.073148,263.0,bottom
D106,63.431266,-53.05632,263.0,bottom
D107,0.0,-58.100001,270.0,bottom
D108,-63.431267,-52.900354,277.0,bottom
D109,-95.964618,-31.004134,277.0,bottom
D110,-106.881266,2.09072,277.0,bottom
D111,-32.879056,14.059644,277.0,bottom
F1,2.915,13.178547,180.0,bottom
J1,0.05562899999999983,19.578546999999997,180.0,bottom
J101,-17.07689,-51.070965,0.0,top
J2,-3.81,-11.835002,270.0,bottom
L1,-5.339472,11.883057,270.0,bottom
R1,-3.475,13.070542,90.0,bottom
R10,-107.564744,-17.003504,180.0,bottom
R11,-31.074744,-21.003504,180.0,bottom
R12,69.085256,-15.641943,0.0,bottom
R13,88.425,-18.214458,0.0,bottom
R14,107.765256,-19.953504,0.0,bottom
R15,12.475,-39.844458,90.0,bottom
R16,50.525256,-23.141943,0.0,bottom
R17,31.79408,-23.641943,0.0,bottom
R18,7.168734,-42.213504,270.0,bottom
R2,5.7,13.560542,270.0,bottom
R3,5.190507,-19.110001,0.0,bottom
R4,4.825001,-14.670001,270.0,bottom
R5,5.825001,-14.670001,270.0,bottom
R6,5.968734,-42.186836,270.0,bottom
R7,-88.084744,-15.631943,180.0,bottom
R8,-68.714744,-14.131943,180.0,bottom
R9,-50.124532,-19.06844,180.0,bottom
SW1,-100.553252,9.760623,263.0,top
SW10,100.56079,9.76466,277.0,top
SW11,-102.874858,-9.147383,263.0,top
SW12,-83.386454,-6.741994,263.0,top
SW13,-63.898048,-4.336598,263.0,top
SW14,-45.570448,-11.385216,263.0,top
SW15,-26.662441,-13.706826,263.0,top
SW16,26.669979,-13.702789,277.0,top
SW17,45.577984,-11.381178,277.0,top
SW18,63.905585,-4.332565,277.0,top
SW19,83.393991,-6.737956,277.0,top
SW2,-81.064845,12.166014,263.0,top
SW20,102.882398,-9.143346,277.0,top
SW21,-105.196474,-28.055386,263.0,top
SW22,-85.708065,-25.649998,263.0,top
SW23,-66.219658,-23.244607,263.0,top
SW24,-47.892059,-30.29322,263.0,top
SW25,-28.984054,-32.614831,263.0,top
SW26,28.99159,-32.610792,277.0,top
SW27,47.899595,-30.289182,277.0,top
SW28,66.227195,-23.240572,277.0,top
SW29,85.715604,-25.645959,277.0,top
SW3,-61.576436,14.571402,263.0,top
SW30,105.20401,-28.051348,277.0,top
SW31,-71.485174,-46.589412,263.0,top
SW32,-40.759668,-50.362027,263.0,top
SW33,40.767203,-50.357992,277.0,top
SW34,71.49271,-46.585373,277.0,top
SW35,0.0,0.0,0.0,top
SW36,0.0,0.0,0.0,top
SW37,0.0,-17.260001,180.0,bottom
SW4,-43.248837,7.52279,263.0,top
SW5,-24.340832,5.20118,263.0,top
SW6,24.348368,5.205214,277.0,top
SW7,43.256372,7.526828,277.0,top
SW8,61.583976,14.575439,277.0,top
SW9,81.072379,12.17005,277.0,top
U1,8.518734,-8.999336,270.0,bottom
U2,-0.109493,-38.955466,270.0,bottom
U3,-1.274999,12.879999,90.0,bottom
U4,-16.714055,-25.69338,270.0,bottom
U5,9.837559,-41.033504,0.0,bottom
U6,16.714055,-25.69338,270.0,bottom
