Designator,Mid X,Mid Y,Rotation,Layer
,0.0,0.0,0.0,top
SW1,-100.559419,9.761443,83.0,top
SW10,100.55942,9.761443,277.0,top
SW11,-102.88103,-9.146561,83.0,top
SW12,-83.392623,-6.741171,83.0,top
SW13,-63.904216,-4.335781,83.0,top
SW14,-45.576615,-11.384393,83.0,top
SW15,-26.668611,-13.706004,83.0,top
SW16,26.668611,-13.706004,277.0,top
SW17,45.576615,-11.384393,277.0,top
SW18,63.904217,-4.335781,277.0,top
SW19,83.392624,-6.741171,277.0,top
SW2,-81.071012,12.166833,83.0,top
SW20,102.881031,-9.146561,277.0,top
SW21,-105.196473,-28.055385,83.0,top
SW22,-85.714234,-25.649175,83.0,top
SW23,-66.225827,-23.243785,83.0,top
SW24,-47.898226,-30.292397,83.0,top
SW25,-28.990222,-32.614008,83.0,top
SW26,28.990222,-32.614008,277.0,top
SW27,47.898226,-30.292397,277.0,top
SW28,66.225828,-23.243785,277.0,top
SW29,85.714235,-25.649175,277.0,top
SW3,-61.582605,14.572223,83.0,top
SW30,105.20401,-28.051351,277.0,top
SW31,-71.485171,-46.589409,173.0,top
SW32,-40.765835,-50.361207,353.0,top
SW33,40.765835,-50.361207,7.0,top
SW34,71.492708,-46.585374,7.0,top
SW4,-43.255004,7.523611,83.0,top
SW5,-24.347,5.202,83.0,top
SW6,24.347,5.202,277.0,top
SW7,43.255004,7.523611,277.0,top
SW8,61.582606,14.572223,277.0,top
SW9,81.071013,12.166833,277.0,top
