Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C2, C3, C4, C5, C7, C8, C9",0402,9,100nF,C307331
"C11, C12",0402,2,1uF,C52923
"C13, C15, C16",0402,3,100n,C307331
C14,0402,1,220p,C1530
C6,0603,1,10uF,
F1,1206,1,ASMD1206-150,C135341
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,
JP1,0603,1,Ext_Res,
L1,1206,1,60R@100MHz,C33600
"R1, R2",0402,2,5.1k,
"R10, R11, R12, R13, R14, R16, R17, R6, R7, R8, R9",0402,11,100k,C25741
R15,0402,1,1k,C11702
R3,0402,1,10k,
"R4, R5",0402,2,4.7k,
"SW32, SW33",ecs_pad_1U_no_ring_90deg,2,EC_SW,
SW35,MX-Hotswap-Alps-1U,1,SW_Push,
SW37,SW_SPST_SKQG_WithoutStem,1,SKQGABE010,C115351
U1,LQFP-48_7x7mm_P0.5mm,1,STM32F072CBT6,
U2,SOT-143,1,PRTR5V0U2X,C2827688
U3,SOT-23,1,XC6206PxxxMR-Regulator_Linear,C5446
"U4, U6",TSSOP-16_4.4x5mm_P0.65mm,2,74HC4051,C5645
U5,SOIC-8_3.9x4.9mm_P1.27mm,1,OPA350,C13388
