Designator,Mid X,Mid Y,Rotation,Layer
C1,-2.742658,-44.63225,0.0,bottom
C10,-4.789472,-7.991943,270.0,bottom
C11,2.760528,9.898057,270.0,bottom
C12,7.725,8.195,90.0,bottom
C13,-52.964493,-42.922966,90.0,bottom
C14,15.625507,-42.462966,270.0,bottom
C15,8.705507,-37.952966,0.0,bottom
C16,59.755507,-42.992966,270.0,bottom
C2,-5.739472,-36.091943,270.0,bottom
C3,2.426751,-33.341943,180.0,bottom
C4,5.575542,-40.272767,90.0,bottom
C5,4.293515,-34.796768,90.0,bottom
C6,4.237319,-31.871789,270.0,bottom
C7,6.860528,-39.691943,270.0,bottom
C8,1.825001,12.329999,0.0,bottom
C9,4.560528,-8.021943,270.0,bottom
F1,2.710528,13.948057,180.0,bottom
J1,-0.010000000000000184,18.904999,180.0,bottom
J2,-3.81,-11.835002,270.0,bottom
JP1,6.965507,-42.742966,270.0,bottom
L1,-5.339472,11.883057,270.0,bottom
R1,-3.489472,13.868057,90.0,bottom
R10,-91.419492,-31.767966,0.0,bottom
R11,-52.914493,-48.702966,90.0,bottom
R12,12.265507,-54.402966,270.0,bottom
R13,14.255507,-54.402965,270.0,bottom
R14,16.245507,-54.402966,270.0,bottom
R15,8.905507,-45.612966,0.0,bottom
R16,18.235507,-54.402965,270.0,bottom
R17,20.225507,-54.402966,270.0,bottom
R2,5.460528,13.908057,270.0,bottom
R3,3.925,-21.041943,270.0,bottom
R4,4.825001,-14.670001,270.0,bottom
R5,5.825001,-14.670001,270.0,bottom
R6,8.915507,-44.622966,180.0,bottom
R7,-89.159493,-31.767966,180.0,bottom
R8,8.285507,-54.402966,270.0,bottom
R9,10.275507,-54.402965,270.0,bottom
SW1,-100.553252,9.760623,0.0,top
SW10,100.56079,9.76466,0.0,top
SW11,-102.874858,-9.147383,0.0,top
SW12,-83.386454,-6.741994,0.0,top
SW13,-63.898048,-4.336598,0.0,top
SW14,-45.570448,-11.385216,0.0,top
SW15,-26.662441,-13.706826,0.0,top
SW16,26.669979,-13.702789,0.0,top
SW17,45.577984,-11.381178,0.0,top
SW18,63.905585,-4.332565,0.0,top
SW19,83.393991,-6.737956,0.0,top
SW2,-81.064845,12.166014,0.0,top
SW20,102.882398,-9.143346,0.0,top
SW21,-105.196474,-28.055386,0.0,top
SW22,-85.708065,-25.649998,0.0,top
SW23,-66.219658,-23.244607,0.0,top
SW24,-47.892059,-30.29322,0.0,top
SW25,-28.984054,-32.614831,0.0,top
SW26,28.99159,-32.610792,0.0,top
SW27,47.899595,-30.289182,0.0,top
SW28,66.227195,-23.240572,0.0,top
SW29,85.715604,-25.645959,0.0,top
SW3,-61.576436,14.571402,0.0,top
SW30,105.20401,-28.051348,0.0,top
SW31,-71.485174,-46.589412,90.0,top
SW32,-40.759668,-50.362027,90.0,top
SW33,40.767203,-50.357992,270.0,top
SW34,71.49271,-46.585373,270.0,top
SW35,0.0,0.0,0.0,top
SW36,0.0,0.0,90.0,top
SW37,0.0,-17.260001,180.0,bottom
SW4,-43.248837,7.52279,0.0,top
SW5,-24.340832,5.20118,0.0,top
SW6,24.348368,5.205214,0.0,top
SW7,43.256372,7.526828,0.0,top
SW8,61.583976,14.575439,0.0,top
SW9,81.072379,12.17005,0.0,top
U1,-0.109493,-38.955466,270.0,bottom
U2,-1.274999,12.879999,90.0,bottom
U3,5.1875,9.625,180.0,bottom
U4,-56.309493,-45.767966,90.0,bottom
U5,11.430507,-41.247966,180.0,bottom
U6,56.309493,-45.767966,90.0,bottom
