Designator,Mid X,Mid Y,Rotation,Layer
C1,-2.631266,-44.636836,0.0,bottom
C10,-1.281266,-5.436836,0.0,bottom
C11,6.840332,-39.951943,90.0,bottom
C12,1.675,11.560542,0.0,bottom
C13,-19.146993,-22.405466,180.0,bottom
C14,8.750629,-40.146453,180.0,bottom
C15,12.461895,-43.097407,90.0,bottom
C16,14.300629,-22.421453,180.0,bottom
C17,6.300332,-38.471943,0.0,bottom
C2,-5.781266,-35.956836,270.0,bottom
C3,2.426751,-33.341943,180.0,bottom
C4,4.220332,-34.751943,90.0,bottom
C5,4.237319,-31.871789,270.0,bottom
C6,10.053007,8.594534,90.0,bottom
C7,7.225629,5.728547,180.0,bottom
C8,5.800332,-39.941943,90.0,bottom
C9,1.538734,-5.436836,180.0,bottom
D101,0.0,-28.480001,270.0,top
D102,0.0,-18.449999,270.0,top
D103,33.810527,14.258057,263.0,bottom
D104,106.881266,2.09072,263.0,bottom
D105,95.987191,-31.073148,263.0,bottom
D106,63.431266,-53.05632,263.0,bottom
D107,0.0,-58.100001,270.0,bottom
D108,-63.431267,-52.900354,277.0,bottom
D109,-95.964618,-31.004134,277.0,bottom
D110,-106.881266,2.09072,277.0,bottom
D111,-32.879056,14.059644,277.0,bottom
F1,2.915,13.178547,180.0,bottom
J1,0.05562899999999983,19.578546999999997,180.0,bottom
J101,-15.07689,-51.070965,0.0,top
J2,-3.81,-11.835002,270.0,bottom
L1,-5.339472,11.883057,270.0,bottom
R1,-3.475,13.070542,90.0,bottom
R10,-21.846993,-27.305466,270.0,bottom
R11,-13.846993,-22.305466,0.0,bottom
R12,12.153007,-24.595467,270.0,bottom
R13,19.663006,-22.305466,180.0,bottom
R14,22.853007,-26.605466,270.0,bottom
R15,12.481895,-41.127407,90.0,bottom
R16,68.137419,-11.588396,270.0,bottom
R17,68.137419,-14.688396,90.0,bottom
R18,5.702562,-43.951789,270.0,bottom
R2,5.7,13.560542,270.0,bottom
R3,5.190507,-19.110001,0.0,bottom
R4,4.825001,-14.670001,270.0,bottom
R5,5.825001,-14.670001,270.0,bottom
R6,7.302562,-43.951789,270.0,bottom
R7,-72.76,-15.1,90.0,bottom
R8,-72.76,-12.53,270.0,bottom
R9,-21.546993,-22.105466,90.0,bottom
SW1,-100.55942,9.761443,263.0,top
SW10,100.559422,9.761446,277.0,top
SW11,-102.881026,-9.146563,263.0,top
SW12,-83.392622,-6.741174,263.0,top
SW13,-63.904216,-4.335778,263.0,top
SW14,-45.576616,-11.384396,263.0,top
SW15,-26.668609,-13.706006,263.0,top
SW16,26.668611,-13.706003,277.0,top
SW17,45.576616,-11.384392,277.0,top
SW18,63.904217,-4.335779,277.0,top
SW19,83.392623,-6.74117,277.0,top
SW2,-81.071013,12.166834,263.0,top
SW20,102.88103,-9.14656,277.0,top
SW21,-105.202642,-28.054566,263.0,top
SW22,-85.714233,-25.649178,263.0,top
SW23,-66.225826,-23.243787,263.0,top
SW24,-47.898227,-30.2924,263.0,top
SW25,-28.990222,-32.614011,263.0,top
SW26,28.990222,-32.614006,277.0,top
SW27,47.898227,-30.292396,277.0,top
SW28,66.225827,-23.243786,277.0,top
SW29,85.714236,-25.649173,277.0,top
SW3,-61.582604,14.572222,263.0,top
SW30,105.202642,-28.054562,277.0,top
SW31,-71.491342,-46.588592,173.0,top
SW34,71.491342,-46.588587,7.0,top
SW35,0.0,0.0,0.0,top
SW36,0.0,0.0,0.0,top
SW37,0.0,-17.260001,180.0,bottom
SW39,-54.946838,-48.619999,173.0,top
SW4,-43.255005,7.52361,263.0,top
SW40,-33.675333,-51.231811,173.0,top
SW42,54.946839,-48.619999,187.0,top
SW43,33.675334,-51.231811,187.0,top
SW5,-24.347,5.202,263.0,top
SW6,24.347,5.202,277.0,top
SW7,43.255004,7.523614,277.0,top
SW8,61.582608,14.572225,277.0,top
SW9,81.071011,12.166836,277.0,top
U1,7.695629,8.111047,270.0,bottom
U2,-0.109493,-38.955466,270.0,bottom
U3,-1.274999,12.879999,90.0,bottom
U4,-16.714055,-25.69338,270.0,bottom
U5,9.844454,-42.316453,0.0,bottom
U6,16.714055,-25.69338,270.0,bottom
